# Data measured on an Dell workstation (Ubuntu 20.04, Xeon 4210@2.20Ghz, 16Go DDR4@1600MT/s)
tokio release;smol release;tokio debug,smol debug;
2301;520;17770;1397;
2313;518;17346;1394;
2431;521;17666;1393;
2319;519;17408;1391;
2323;519;17642;1392;
2300;520;17385;1394;
2295;518;17675;1393;
2464;519;17399;1391;
2411;520;17610;1396;
2320;518;17330;1378;
2303;521;17675;1393;
2293;517;17400;1395;
2317;512;17605;1396;
2299;516;17381;1189;
2299;519;17625;1390;
2316;519;17338;1394;
2299;520;17625;1392;
2320;519;17371;1392;
2293;520;17674;1394;
2343;518;17312;1391;
2326;520;17719;1395;
2301;518;17316;1365;
2308;519;17670;1391;
2319;520;17318;1379;
2300;521;17714;1375;
2322;518;17377;1396;
2429;519;17642;1392;
4999;518;17310;1394;
2446;513;17624;1318;
2371;521;17269;1383;
2305;518;17655;1395;
2325;520;17385;1397;
2311;521;17620;1394;
2321;514;17247;1392;
2300;521;17564;1393;
2294;519;17392;1394;
2330;519;17511;1394;
2300;520;17299;1391;
2303;519;17601;1386;
2323;520;1997;13860;
2309;520;17714;1393;
2325;519;17307;1394;
2303;520;17695;1394;
2303;200;17435;9829;
2323;515;17698;1172;
2303;521;17467;1392;
2300;521;17768;1394;
2320;520;17073;1395;
2304;520;17847;1390;
2316;520;17490;1395;
2309;521;17789;1395;
2294;521;17550;1396;
2309;521;17584;1393;
2299;521;17585;1395;
2300;521;17815;1389;
2323;520;17510;1396;
2313;520;17810;1396;
2315;520;17579;1393;
2307;519;17795;1391;
2303;514;17588;1327;
2327;521;17759;1392;
2294;521;17571;1395;
2303;520;17812;1393;
2313;520;17568;1390;
2302;521;17780;1396;
2323;521;17551;1395;
2307;520;17785;1395;
2303;521;17553;1395;
2326;520;17788;1394;
2298;520;17588;1392;
2303;520;17738;1391;
2311;521;17602;1395;
2307;519;17785;1393;
2323;514;17558;1391;
2313;518;17738;1385;
2303;516;17578;1187;
2327;520;17735;1388;
2300;519;17624;1394;
2310;521;17709;1390;
2366;521;17541;1391;
2324;521;17815;1392;
2319;520;17474;1391;
2307;521;17753;1390;
2299;515;17515;1395;
2320;520;17712;1395;
2303;520;17544;1397;
2294;520;17744;1374;
2319;521;17571;1392;
2299;520;17504;1394;
2329;521;17545;1397;
2309;500;17781;1314;
2299;521;17559;1386;
2321;520;17774;1396;
2303;515;17568;1396;
2301;521;17787;1392;
2325;520;17575;1397;
2310;521;17751;1396;
2315;519;17558;1389;
2299;520;17785;1398;
2303;520;17619;1397;
2315;520;17771;1396;
2375;519;17551;1395;
2300;521;17821;1398;
2323;520;17566;1395;
2310;520;17749;1397;
2326;518;17570;1397;
2312;515;17750;1196;
2298;521;17489;1392;
2325;520;17815;1393;
2297;520;17588;1392;
2304;516;17759;1389;
2323;521;17603;1393;
2310;521;17631;1389;
2313;521;17585;1391;
2306;521;17775;1394;
2293;521;17560;1389;
2329;520;17705;1388;
2298;521;17569;1395;
2303;521;17813;1393;
2316;516;17546;1395;
2309;520;17723;1394;
2315;513;17619;1302;
2310;521;17658;1390;
2316;521;17610;1395;
2323;521;17764;1398;
2300;520;17602;1391;
2310;520;17777;1394;
2317;520;17555;1388;
2306;519;17757;1395;
2366;519;17593;1395;
2312;520;17795;1397;
3080;521;17574;1375;
2420;520;17775;1389;
2295;520;17594;1375;
2309;520;17731;1394;
1299;520;11761;1396;
2374;517;17784;1393;
2294;508;17583;1191;
2303;521;17740;1393;
2302;521;17574;1391;
2320;520;17736;1387;
2302;521;17550;1382;
2432;521;17659;1371;
3013;520;17565;1395;
2298;520;17741;1391;
2456;520;17578;1393;
2304;519;17804;1392;
2294;521;17547;1392;
2332;521;17667;1387;
2945;521;17628;1397;
2299;520;17781;1387;
2414;520;17615;1387;
2306;513;17776;1274;
2348;519;17554;1395;
2304;520;17797;1396;
2315;521;17575;1391;
2433;520;17751;1395;
2299;520;17580;1393;
2303;520;17804;1393;
2401;520;17596;1392;
2303;520;17785;1396;
2428;515;17615;1395;
2304;520;17679;1395;
2299;520;17587;1391;
2412;521;17776;1387;
2300;521;17578;1395;
2300;514;17756;1393;
2394;519;17578;1396;
2299;516;17749;1191;
2405;521;17400;1394;
2304;520;17866;1394;
2304;521;17604;1393;
2444;521;17733;1395;
2303;521;17579;1392;
2303;520;17806;1389;
2315;520;17598;1397;
2309;520;17794;1396;
2318;520;17628;1390;
2302;519;17799;1394;
2299;519;17540;1391;
2320;521;17764;1397;
2299;520;17514;1394;
2305;521;17689;1395;
2320;515;17507;1329;
2301;521;17625;1380;
2315;515;17524;1393;
2303;520;17741;1395;
2294;520;17454;1387;
2310;519;17619;1395;
2334;521;17563;1393;
2303;515;17799;1393;
2299;521;17494;1385;
2297;521;17740;1393;
2323;515;17541;1388;
2312;516;17640;1377;
2320;515;17548;1377;
2315;520;17739;1395;
2299;519;17585;1395;
2303;517;17679;1394;
2314;516;17562;1192;
2306;520;17795;1396;
2320;518;17574;1394;
2307;520;17757;1396;
2564;518;17538;1395;
2330;521;17806;1395;
2299;519;17590;1397;
2303;518;17790;1397;
2316;515;17574;1395;
2313;520;17719;1394;
2313;518;17525;1394;
2294;520;17770;1394;
2356;519;17579;1386;
2324;520;17711;1393;
2304;520;17612;1394;
2306;217;17754;3690;
2320;521;17633;1388;
2301;520;17789;1395;
2327;519;17556;1396;
2310;520;17778;1396;
2309;519;17608;1397;
2406;519;17768;1394;
2303;521;17596;1390;
2304;520;17772;1395;
2317;520;17579;1391;
2299;520;17817;1396;
2323;520;17587;1390;
2295;521;17786;1395;
2430;521;17584;1391;
2312;519;17755;1393;
2354;519;17614;1392;
2310;516;17765;1180;
2319;520;17525;1393;
2299;520;17755;1391;
2314;519;17547;1396;
2434;520;17785;1395;
2299;521;17585;1378;
2326;520;17719;1395;
2295;515;17582;1394;
2314;520;17770;1391;
2321;519;17565;1395;
2436;521;17808;1395;
2323;520;17584;1389;
2296;520;17775;1392;
2298;515;17589;1391;
2323;515;17787;1395;
2294;512;17548;1323;
2299;521;17761;1393;
2323;521;17588;1396;
2305;521;17741;1394;
2439;515;17570;1368;
2304;516;17812;1396;
2307;512;17614;1391;
2324;520;17714;1394;
2302;521;17418;1392;
2310;521;17829;1395;
2831;521;17462;1394;
2353;520;17626;1396;
2436;521;17579;1389;
2309;520;17806;1394;
2296;520;17634;1391;
2324;520;17672;1396;
2310;516;17538;1180;
2309;520;17683;1390;
2321;520;17580;1395;
2299;519;17820;1393;
2311;520;17556;1395;
2304;520;17788;1393;
2514;520;6355;13954;
2540;521;17741;1394;
2298;521;17545;1395;
2301;520;17784;1396;
2315;520;17610;1398;
2301;520;17756;1394;
2466;520;17546;1393;
2413;521;17759;1396;
2303;519;17561;1390;
2326;514;17751;1327;
2318;520;17600;1389;
2814;520;17787;1395;
2340;519;17522;1397;
2310;520;17793;1394;
2318;515;17515;1396;
2302;519;17785;1395;
2526;521;17615;1393;
2353;520;17608;1390;
2304;520;17608;1394;
2305;520;17768;1391;
2324;520;17588;1387;
2480;520;17765;1394;
2483;520;17446;1393;
2300;520;17768;1395;
2295;519;17470;1378;
2313;515;17819;1193;
2350;519;17609;1377;
2315;521;17777;1395;
2544;521;17550;1395;
2311;519;17769;1389;
2322;520;17601;1382;
2304;520;17815;1395;
2301;520;17599;1392;
2326;520;17735;1372;
2302;519;17654;1394;
2309;521;17753;1392;
2323;520;17568;1395;
2297;521;17714;1381;
1127;520;13288;1395;
2295;520;17775;1389;
2302;515;17621;1317;
2302;521;17739;1392;
2305;521;17436;1391;
2299;520;17745;1392;
2319;520;17508;1393;
2296;520;17693;1394;
2357;520;17409;1396;
2294;520;17507;1394;
2299;520;17508;1394;
2348;515;17835;1384;
2303;520;17828;1396;
2299;519;17915;1396;
2348;521;17859;1390;
2309;519;17794;1396;
2346;519;17751;1387;
2311;519;17949;1392;
2303;516;17704;1188;
2396;520;17678;1395;
2303;520;17603;1393;
2310;520;17701;1393;
2295;521;17609;1393;
2302;521;17701;1394;
2304;520;17541;1384;
2309;520;17933;1393;
2295;514;17532;1391;
2306;516;17785;1391;
2298;521;17590;1394;
2311;521;17798;1376;
2307;521;17543;1392;
2315;520;17619;1390;
2303;515;17599;1388;
2299;515;17726;1306;
2384;521;17598;1390;
2308;520;17691;1388;
2294;520;17468;1394;
2302;520;17678;1393;
2294;521;17459;1396;
2295;520;17725;1396;
2308;515;17568;1387;
2307;520;17790;1393;
2301;519;17591;1393;
2313;521;17772;1386;
2300;520;17579;1397;
2310;521;17772;1385;
2303;520;17598;1392;
2309;518;17803;1389;
2356;519;17565;1384;
2305;515;17815;1169;
2300;520;17661;1394;
2295;520;17670;1395;
2301;521;17360;1394;
2305;521;17746;1393;
2300;520;17558;1395;
2300;520;17785;1391;
2299;515;17489;1396;
2303;520;17785;1393;
2299;515;17421;1393;
2300;521;17670;1396;
2300;520;17611;1397;
2306;515;17696;1392;
2403;520;17575;1394;
2305;519;17735;1392;
2301;509;17625;1329;
2311;521;17771;1375;
2603;518;17571;1392;
2329;521;17785;1392;
2299;520;17550;1394;
2304;517;17815;1395;
2319;520;17597;1395;
2510;521;17701;1396;
2327;518;17579;1390;
2317;516;17760;1372;
2349;518;17535;1390;
2310;520;17747;1394;
2413;521;17536;1393;
2305;519;17810;1393;
2317;520;17509;1397;
2344;516;17598;1391;
2426;249;17574;6745;
2299;520;17793;1371;
2580;521;17561;1393;
2392;520;17768;1393;
2303;520;17559;1394;
2305;520;17780;1388;
2413;520;17611;1392;
2534;519;17735;1393;
2394;520;17564;1391;
2299;520;17686;1392;
2307;516;17600;1396;
2455;521;17781;1394;
2339;519;17589;1397;
2309;520;17825;1395;
2615;521;17598;1393;
2313;514;17825;1316;
2403;520;17574;1383;
2303;519;17829;1391;
2299;520;17568;1394;
2406;519;17754;1393;
2299;520;17550;1394;
2300;520;17718;1389;
2416;514;17599;1382;
2309;516;17812;1392;
2414;520;17592;1371;
2295;519;17815;1395;
2303;520;17594;1388;
2316;521;17625;1396;
2309;520;17365;1390;
2308;515;17867;1392;
2314;519;17551;1393;
2298;514;17788;1161;
2311;520;17400;1389;
2306;520;17774;1390;
2295;521;17590;1390;
2316;514;17782;1393;
2300;520;17554;1380;
2297;521;17701;1396;
2319;520;17500;1395;
2306;520;17643;1393;
2319;520;17611;1391;
2296;521;17681;1394;
2299;520;17622;1388;
2339;520;17770;1394;
2448;519;17498;1389;
2300;520;17805;1388;
2326;513;17599;1312;
2302;520;17794;1389;
2319;521;17548;1388;
2308;520;17761;1393;
2295;520;17587;1394;
2324;520;17787;1397;
2376;511;17605;1397;
2304;519;17796;1395;
2315;519;17583;1392;
2302;520;17775;1392;
2300;512;17550;1394;
2301;513;17739;1392;
2291;520;17515;1395;
2334;520;17736;1382;
2303;519;17553;1397;
2300;519;17763;1394;
2319;517;17601;1182;
2312;520;17791;1391;
2322;521;17564;1393;
2299;521;17762;1391;
2647;520;17575;1392;
2420;520;17765;1394;
2296;520;17585;1390;
2303;521;17681;1392;
2439;520;17575;1392;
2299;520;17830;1396;
2411;520;17535;1397;
2301;516;17781;1392;
2294;520;17593;1394;
2611;520;17746;1392;
2319;520;17524;1389;
2306;511;17775;1324;
2310;520;17559;1390;
2303;520;17805;1386;
2682;519;17568;1392;
2311;521;17737;1397;
2376;520;17579;1390;
2335;520;17745;1396;
2304;520;17583;1395;
2310;520;17581;1394;
2312;515;17569;1395;
2303;520;17765;1391;
2320;520;17539;1392;
2308;519;17690;1393;
2294;521;17535;1394;
6523;519;13318;1394;
2313;519;17496;1393;
2305;510;17719;1166;
2346;521;17529;1390;
2316;520;17749;1393;
2317;514;17602;1386;
2299;521;17648;1396;
2319;520;17575;1396;
2310;520;17761;1388;
2303;519;17537;1392;
2299;520;17805;1395;
2600;520;17569;1394;
2305;514;17803;1396;
2320;520;17423;1393;
2299;519;17795;1391;
2300;520;17600;1394;
2380;521;17800;1395;
2299;513;17609;1324;
2304;516;17774;1380;
2311;520;17591;1390;
2432;515;17769;1396;
2496;520;17528;1395;
2305;520;17728;1387;
2318;520;17554;1377;
2333;521;17752;1390;
2299;520;17554;1395;
2306;515;17775;1393;
2316;520;17618;1394;
2307;521;17785;1395;
2319;515;17580;1390;
2538;520;17753;1396;
2318;514;17555;1388;
2319;520;17785;1392;
2319;516;17619;1168;
2316;518;17768;1389;
2420;521;17553;1391;
2296;520;17784;1392;
2320;518;17525;1393;
2303;521;17735;1392;
2306;518;17491;1393;
2424;520;17605;1392;
2307;520;17611;1395;
2414;518;17815;1393;
2322;519;17568;1394;
2310;520;17773;1392;
2319;519;17585;2853;
2426;520;17766;1395;
2318;519;17631;1394;
2333;513;17731;1308;
2370;521;17600;1379;
2325;518;17768;1392;
2320;521;17540;1382;
2299;520;17765;1392;
2420;518;17578;1393;
2317;520;17785;1393;
2303;518;17625;1393;
2329;521;17780;1394;
2319;521;17600;1392;
2421;513;17706;1394;
2303;521;17249;1394;
2416;519;17855;1393;
2313;518;17570;1392;
2306;519;17791;1395;
2308;517;17580;1395;
2335;516;17694;1174;
2554;521;17561;1390;
2301;518;17754;1394;
2303;521;17458;1394;
2309;519;17785;1395;
2318;518;17544;1394;
2299;519;17714;1394;
2300;518;17555;1391;
2323;520;17748;1391;
2306;520;17586;1389;
2340;519;17771;1392;
2315;520;17591;1389;
2304;520;17761;1395;
2324;518;17571;1382;
2312;521;17685;1395;
2301;202;17515;9527;
2323;520;17738;1387;
2292;521;17608;1391;
2304;521;17775;1394;
2319;521;17046;1394;
2310;520;17592;1395;
2331;520;17580;1387;
2309;521;17647;1396;
2299;520;17578;1394;
2319;520;17763;1393;
2298;521;17616;1398;
2306;521;17785;1395;
2359;520;17634;1393;
2299;520;17849;1395;
2313;520;17523;1396;
2307;519;17769;1394;
2303;507;17602;1165;
2326;521;17791;1390;
2353;516;17579;1397;
2314;521;17677;1394;
2326;521;17593;1396;
2295;520;17748;1378;
2731;520;17544;1397;
2307;520;17775;1397;
2300;516;17579;1393;
2449;521;17769;1382;
2465;520;17578;1396;
2311;520;17837;1377;
2422;521;17574;1395;
2310;520;17770;1396;
2445;516;17585;1395;
2323;499;17754;1326;
2319;519;17466;1389;
2436;520;17774;1391;
2324;521;17630;1395;
2412;516;17731;1393;
2525;520;17358;1395;
2309;521;17775;1393;
2319;519;17522;1392;
2306;521;17816;1394;
2299;521;17552;1394;
2329;521;17779;1392;
2299;520;17575;1391;
2304;521;17781;1386;
2430;519;17535;1397;
2310;519;17830;1378;
2320;519;17564;1394;
2319;516;17788;1174;
2303;521;17594;1389;
2484;520;17775;1386;
2319;521;17564;1393;
2301;520;17787;1395;
2320;520;17481;1395;
2298;520;17829;1375;
2419;520;17534;1393;
2310;520;17698;1371;
2307;521;17549;1394;
2329;521;17760;1384;
2299;521;17588;1389;
2300;521;17763;1387;
2327;520;17619;1381;
2299;520;17772;1397;
2316;514;17596;1327;
2305;521;17794;1385;
2303;521;17608;1393;
2322;521;17712;1387;
2353;520;17504;1384;
2306;520;17808;1395;
2319;521;17579;1393;
2296;520;17835;1379;
2314;520;17587;1395;
2295;521;17816;1393;
2350;521;17590;1395;
2325;521;17785;1393;
2303;520;17601;1395;
2300;519;17813;1389;
2326;520;17538;1396;
2303;519;17803;1396;
2319;516;17606;1176;
2304;520;17819;1388;
2306;521;17604;1393;
2319;519;17695;1389;
2340;520;17531;1384;
2300;522;17785;1395;
2316;521;17568;1395;
2302;521;17749;1394;
2316;520;17596;1390;
2303;521;17815;1386;
2360;521;17548;1382;
2333;521;17634;1394;
2293;520;17588;1393;
2306;521;17765;1395;
6261;520;13263;1385;
2304;514;17819;1319;
2303;520;17619;1390;
2310;519;17731;1393;
2296;520;17589;1395;
2303;520;17785;1394;
2313;519;17554;1394;
2306;521;17711;1390;
2329;520;17540;1395;
2303;520;17620;1392;
2394;519;17379;1395;
2306;521;17867;1395;
2594;521;17600;1385;
2332;520;17791;1393;
2348;520;17599;1391;
2301;519;17800;1393;
2443;518;17611;1394;
2454;516;17791;1179;
2299;520;17561;1392;
2302;520;17761;1394;
2309;520;17543;1395;
2441;520;17711;1395;
2410;520;17579;1392;
2303;513;17799;1393;
2325;520;17601;1396;
2309;520;17820;1393;
2315;515;17583;1392;
2303;521;17789;1392;
2554;520;17599;1392;
2411;515;17759;1397;
2300;519;17544;1389;
2358;515;17783;1395;
2396;513;17529;1323;
2300;521;17819;1390;
2399;521;17438;1396;
2313;520;17767;1393;
2304;520;17615;1384;
2321;521;17768;1398;
2304;521;17600;1393;
2313;521;17778;1391;
2330;520;17580;1393;
2300;520;17808;1395;
2319;520;17569;1395;
2314;520;17830;1394;
2300;521;17628;1393;
2319;520;17766;1391;
2300;519;17605;1392;
2300;509;17771;1393;
2321;516;17534;1174;
2303;520;17784;1392;
2314;520;17602;1397;
2305;520;17815;1395;
2297;520;17605;1390;
2325;521;17775;1398;
2303;520;17525;1395;
2306;521;17778;1388;
2319;521;17543;1395;
2307;521;17792;1395;
2310;515;17585;1392;
2308;520;17789;1387;
2303;511;17497;1392;
2320;521;17800;1395;
2305;520;17422;1393;
2305;508;17727;1330;
2553;520;17444;1378;
2303;521;17635;1393;
2317;519;17501;1378;
2310;521;17770;1379;
2293;518;17598;1394;
2326;521;17807;1394;
2310;521;17594;1398;
2295;518;17805;1394;
2464;521;17571;1394;
2315;520;17802;1380;
2419;518;17569;1388;
2299;520;17747;1396;
2388;518;17593;1395;
2320;518;17791;1386;
2301;519;17586;1393;
2299;203;17818;7977;
2646;521;17591;1391;
2305;520;17769;1387;
2318;520;17535;1395;
2305;521;17774;1395;
2298;520;17661;1395;
2455;520;17759;1393;
2513;520;17574;1396;
2406;520;17808;1388;
2306;521;17571;1387;
2310;521;17821;1392;
2324;520;17585;1394;
2303;520;17785;1381;
2416;519;17595;1385;
2446;520;17805;1396;
2388;513;17553;1326;
2308;521;17741;1385;
2316;516;17548;1393;
2410;521;17769;1392;
2320;521;17601;1394;
2404;521;17805;1397;
2295;520;17596;1395;
2326;522;17745;1392;
2295;521;17639;1395;
2416;520;17624;1391;
2476;520;17569;1396;
2302;519;17791;1395;
2321;520;17504;1396;
2299;521;17675;1390;
2299;514;17479;1393;
2324;520;17622;1392;
2304;509;17595;1168;
2309;521;17788;1389;
2323;520;17601;1393;
2293;520;17735;1396;
2312;515;17486;1396;
2295;521;17805;1393;
2294;520;17599;1391;
2326;520;17763;1392;
2301;520;17590;1391;
2294;516;17808;1390;
2722;521;17526;1391;
2299;520;17749;1393;
2316;520;17587;1390;
2302;521;17791;1386;
2309;521;17594;1394;
2323;513;17755;1323;
2314;521;17608;1390;
2300;521;17830;1390;
2354;520;17498;1381;
2304;520;17768;1394;
2325;521;17381;1395;
2299;520;17794;1392;
2298;520;17384;1395;
2326;520;17829;1392;
2307;520;17599;1396;
2304;520;17810;1392;
2395;520;17604;1393;
2306;520;17825;1394;
2323;521;17628;1395;
2315;520;17765;1395;
2304;520;17626;1394;
2313;517;17765;1166;
2308;520;17590;1388;
2533;520;17769;1385;
2315;519;17603;1390;
2299;520;17788;1391;
2321;520;17558;1393;
2299;521;17741;1393;
2299;520;17616;1396;
2330;521;17762;1393;
2307;520;17596;1392;
2301;520;17785;1395;
2319;521;17601;1389;
2307;521;17801;1393;
2319;516;17566;1387;
2300;520;17844;1386;
2311;515;17504;1318;
2314;520;17791;1387;
2299;512;17624;1395;
2450;521;17795;1396;
2313;520;17594;1396;
2310;519;17808;1378;
2331;520;17587;1377;
2302;520;17778;1392;
2314;521;17577;1394;
2313;521;17789;1393;
2424;521;17614;1395;
2314;521;17827;1394;
2316;520;17604;1393;
2305;519;17770;1395;
2384;520;17574;1393;
2304;519;17821;1390;
2298;516;17614;1176;
2355;521;17824;1374;
2296;521;17547;1387;
2306;515;17796;1395;
2358;521;17619;1391;
2303;520;17788;1392;
2380;521;17567;1389;
2299;520;17814;1394;
2308;520;17604;1393;
2401;521;17746;1387;
2295;521;17619;1396;
2304;520;17789;1395;
2383;520;17550;1390;
2310;521;17785;1395;
2399;520;17584;1396;
2309;514;17756;1318;
2314;520;17572;1390;
2379;519;17762;1392;
2309;519;17640;1393;
2311;520;17826;1392;
2401;521;17589;1395;
2435;520;17751;1394;
2444;520;17589;1394;
2295;520;17793;1384;
2299;515;17530;1388;
2344;520;17781;1390;
2309;521;17473;1395;
2524;520;17805;1394;
2314;519;17555;1394;
2303;520;17679;1390;
2319;514;17539;1392;
2318;516;17801;1177;
2416;519;17087;1389;
2309;520;17770;1381;
2297;521;17615;1391;
2300;520;17811;1393;
2304;520;17590;1393;
2404;520;17815;1394;
2315;521;17562;1396;
2378;521;17785;1394;
2305;521;17585;1393;
2329;521;17734;1393;
2299;520;17569;1396;
2307;521;17845;1392;
2318;521;17566;1397;
2323;520;17831;1391;
2317;514;17556;1329;
2436;521;17696;1389;
2509;521;17634;1390;
2320;521;17788;1395;
2317;516;17590;1394;
2297;520;17798;1396;
2364;521;17494;1394;
2334;521;17805;1395;
2455;514;17553;1392;
2302;520;17831;1395;
2336;516;17588;1394;
2333;521;17795;1396;
2296;521;17564;1394;
2413;515;17795;1386;
2309;520;17595;1394;
2299;520;17754;1391;
2329;514;17535;1175;
2304;521;17807;1391;
2421;519;17591;1393;
2320;520;17794;1396;
2312;521;5788;13968;
2305;514;19886;1396;
2312;521;19802;1396;
2306;520;19850;1392;
2325;519;19774;1395;
2739;521;19656;1393;
2300;519;19794;1394;
2327;521;19784;1396;
2298;520;19747;1395;
2354;519;19900;1390;
2369;521;19815;1396;
2420;514;19843;1325;
2456;519;19710;1388;
2421;521;19745;1388;
2313;518;19795;1393;
2329;521;19745;1395;
2299;520;19757;1398;
2459;520;19764;1393;
2346;521;19724;1395;
2299;520;19760;7200;
2334;516;19770;1393;
2305;520;19887;1393;
2299;515;19755;1396;
2341;520;19822;1385;
2474;521;19688;1395;
2296;514;19670;1397;
2423;520;19764;1398;
2292;511;19918;1174;
2459;515;19624;1392;
2306;520;19872;1390;
2313;515;19775;1393;
2423;520;19875;1395;
2299;520;19747;1394;
2297;515;19850;1396;
2426;521;19707;1394;
7695;520;7833;13866;
